[00:03:31]: [DangTienScan] === scan begin ===	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_HTZ_NOLQ = 灵力不足	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XYNYD_4 = 四品玄阳暖玉丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HJJM = 化劫尖芒	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SKELETON = 骷髅	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_MGQG = 魔怪钳骨	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LLBX = 玲珑宝箱	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_TLZ = 天雷子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_JIANGREN = 绛刃	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_BACK_XH = 悬壶	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DANYAO_HL = 合灵丸	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LIANDANLU = 丹炉	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LHWDC = 龙魂问道锤	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FLOWER_SFR = 水芙蓉	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XTTYD_4 = 四品血饕餮元丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SUDAJI_MXRG = 梅香如故	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_TNZ_CHGZ = 翠荷光盏	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZCMY = 紫姹魔羽	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DC = 灯彩	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FANHUNGUOPU = 返魂果脯	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_HUAXIA = 洛神花匣	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LGZBH = 流光珠宝盒	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_YFSXD_4 = 四品御风神行丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FUTU_SMALL = 灵矿魔偶	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_YHH_SEED = 幽影种子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZHOUWANG = 纣王	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FB_MUTATEDWARG = 附身座狼魂魄	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DANYAO_DT = 锻体丸	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PLANT_LMG = 雷鸣菇	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZUICHUNYAN = 醉春烟	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_PYSK = 磐岳石傀	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_QY = 青月	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_PSHSD_2 = 二品磐石护身丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WUKONG_JGB = 如意金箍棒	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZYG_LIGHT1 = 灯	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZIYUN_HOUSE = 异化的天机屋	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SUDAJI_TSMD = 替身木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_TREE_DF = 丹枫	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_DRAGONFLY = Dragonfly	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZUICHUNYAN_SAPLING = 醉春烟树苗	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DOOR_EXIT = 出口	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_CYFXD_1 = 一品赤阳焚血丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WYJ = 忘忧剑	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_LIFEFLOWER_BUILDER = 生之花	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SHADOWSPIDERQUEEN = 蜘蛛女王	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PFLNW = 皮弗娄牛屋	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_CYH_SEED = 炽热种子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_XJS = 芙蓉玄机伞	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_DMHSD_2 = 二品地脉回生丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_BY = 碧云童子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_HUAZHONG = 洛神花种	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_5 = Làm Vườn, Mở Rộng	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_ROCKY = 石虾	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FLOWER_MD = 牡丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JGB = 金箍棒	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HE_CONTAINER = 猴耳	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_JINGWEI5 = Lông chim Đỏ	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_ZZQL = 只此青绿	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_JINGWEI4 = Lông chim Đen	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_HYJDYQD = 混元金斗跃迁点	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LINGSHI4 = 极品灵石	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_ZHF_SOUL = 尊魂幡魂灵	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ROCK3 = 绝品灵石矿	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZTP = 掌天瓶	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_DINGHUNXIANGLU = 定魂香炉	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_TREE_YLS = 烟柳树	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZYG_NPC = 紫云魔君	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FHS_DESK = 青玉案	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_LIGHTNINGGOAT = Vôn Dương	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_QFX_SEED = 青囊种子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SPIDERDEN = 魔蛛巢穴	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_BJMS_BUILDER = 百劫魔身	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_GJ = 甘井	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JUSHUWU = 木屋	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FANHUNSHU = 返魂树	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_BJSJ = 不尽神剑	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_LUOSHEN_PLANTMEAT = Thịt Lá	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_TREE_LS = 蓝杉	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LINGSHI3 = 上品灵石	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_CYFXD_4 = 四品赤阳焚血丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PLANT_CYH = 赤阳花	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QXDHD_3 = 三品清心涤魂丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_XYZZL = 血玉蜘蛛卵	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_PORTABLE_SPICER = 云烟香料站	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LYCX = 龙蝇巢穴	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.FENCE_GATE_LUOSHEN = 锦门	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_XSJ = 血煞剑	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_POG_HOUSE = 青丘坊	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZYG_LIGHT = 灯	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_FENICE_BUILDER = 玄鸟	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_FENICE4 = 玄鸟	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_HSPHD_3 = 三品寒髓辟火丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_PSHSD_4 = 四品磐石护身丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FUTU = 魔将浮屠	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SHADOWSPIDER_DROPPER = 穴居悬蛛	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_TNZ = 天逆珠	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_HAT = 翠羽仙踪	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HMSW = 浣猫树屋	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_XTD = 虚天鼎	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XYNYD_3 = 三品玄阳暖玉丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FANHUNSHUVINE = 返魂果藤	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_CWKJ_CONTAINER = 储物空间	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_BY_BUILDER = 碧云童子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SPIDERQUEEN = 邪煞蛛王	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FB_MUTATEDHOUND = 孱弱的猎犬魂魄	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHENZHU_VINE = 藤蔓	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FABAO = 失去灵性的法宝	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_7 = Câu Chuyện Ru Ngủ	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_6 = Nguyệt Ma Đạo Thư	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_4 = Muối Nêm	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_3 = Bột Ớt	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_2 = Tinh Thể Mật Ong	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_1 = Bột Tỏi	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI10 = 纤羽	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DANYAO_HJ = 化晶丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_TIANJIWU = 天机屋	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SSKL = 神识傀儡	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DANYAO_NS = 凝神丸	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_JINGWEI7 = Lông chim vàng	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_NPXSZ = 涅槃血髓竹	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_JINGWEI1 = Bùa Phục Sinh	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN = 洛神	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WANGMAZI = 王麻子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SHIJI = 石矶娘娘	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO = 三霄娘娘	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI = 精卫	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WUKONG = 孙悟空	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SUDAJI = 苏妲己	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DANYAO_HS = 化神丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_NOWEAPON = 需要手持专属武器才能使用	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.FENCE_GATE_LUOSHEN_ITEM = 锦门	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.FENCE_LUOSHEN = 栅栏	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.FENCE_LUOSHEN_ITEM = 芳菲栅栏	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.WALL_LUOSHEN = 绣墙	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.WALL_LUOSHEN_ITEM = 绣墙	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOXIANG_PENGROU = 洛香烹肉	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_KRSS = 枯荣双生	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHENZHU_VINE_TAIL = 藤蔓	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_TLSQ = 通灵石窍	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_TNZ_FTL = 伏龙台	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_WICKERBOTTOM = Wickerbottom	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_STOOL = 承运座	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_JINGWEI2 = Tim Mách Lẻo	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_QXDX = 青岫丹仙	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FS = 凤髓	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YHSYZ = 月华摄药枝	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_CHOUJIANGJI = 灵石抽奖机	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SUDAJI_SJPN_CONTAINER = 什锦佩囊	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YLXQ = 玉露仙畦	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PLANT_YHH = 幽魂花	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_LMG_SEED = 靛菌种子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_LMG = 雷鸣菇	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_CYH = 赤阳花	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_QFX = 清风絮	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PLANT_QFX = 清风絮	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_DMS_SEED = 地髓种子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_DMS = 地脉参	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PLANT_DMS = 地脉参	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_HSC_SEED = 覆冰种子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LC_HSC = 霜寒草	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_PLANT_HSC = 霜寒草	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_FD = 废丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_TSFHD = 替死返魂丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XTTYD_5 = 五品血饕餮元丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XTTYD_3 = 三品血饕餮元丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XTTYD_2 = 二品血饕餮元丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XTTYD_1 = 一品血饕餮元丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_HSPHD_5 = 五品寒髓辟火丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_HSPHD_4 = 四品寒髓辟火丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_HSPHD_2 = 二品寒髓辟火丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_HSPHD_1 = 一品寒髓辟火丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XYNYD_2 = 二品玄阳暖玉丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_XYNYD_1 = 一品玄阳暖玉丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QJQSD_5 = 五品千机巧手丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QJQSD_4 = 四品千机巧手丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QJQSD_3 = 三品千机巧手丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_YIN = 洛神引	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QJQSD_1 = 一品千机巧手丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_PSHSD_5 = 五品磐石护身丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_PSHSD_1 = 一品磐石护身丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_YFSXD_3 = 三品御风神行丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_YFSXD_1 = 一品御风神行丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QXDHD_5 = 五品清心涤魂丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QXDHD_4 = 四品清心涤魂丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QXDHD_2 = 二品清心涤魂丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_QXDHD_1 = 一品清心涤魂丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_DMHSD_5 = 五品地脉回生丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_DMHSD_4 = 四品地脉回生丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_DMHSD_3 = 三品地脉回生丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_DMHSD_1 = 一品地脉回生丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_LMSQD_5 = 五品雷鸣煞气丹	
[00:03:31]: [DangTienScan] EN | STRINGS.NAMES.XD_STALKE_FUBEN = Thượng Cổ Hắc Ám	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_LMSQD_2 = 二品雷鸣煞气丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_LMSQD_1 = 一品雷鸣煞气丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_CYFXD_5 = 五品赤阳焚血丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_QLJQ = 琼楼金阙	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_DY_CYFXD_2 = 二品赤阳焚血丹	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_MD8 = 远古织影者木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_MD6 = 麒麟木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_MD4 = 龙蝇木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_MD3 = 巨鹿木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_MD2 = 金凤木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_MD1 = 附身座狼木雕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_KJB = 坤极鞭	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_ZHF_GROUND = 尊魂幡(孤品)	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_WMZ_ZHF = 尊魂幡(孤品)	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_CY_BUILDER = 彩云童子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_XIANJIAN_BUILDER = 仙剑	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_KLS = 骷髅山	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_BGLXP = 八卦龙须帕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_BGYGP = 八卦云光帕	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHENZHU = 洛神诛	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_SJ_SXZ = 蚀心胄	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_XTZLJ_STR = 专武神通持续期间可以使用一次	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_TIMELEFT = 冷却还剩%d秒	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_TXM = 五子同心魔	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_FJFB = 飞剑符宝	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_QZXY = 奇蛛血玉	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_XYZZ = 血玉蜘蛛	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_SJCX = 噬金虫匣	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_HTZ_QZJ = 青竹蜂云剑	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_LUOSHEN_JIHUAZE = 棘花泽	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_CHANGE.0.1 = 不以物喜，不以己悲，成就长生仙尊之法门	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_CHANGE.0.2 = 心如止水，静若安澜，道法自然。	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_CHANGE.2.1 = 打上一场便知本仙姑岂是浪得虚名。	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_CHANGE.2.2 = 见识见识本仙姑的手段吧。	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_CHANGE.1.1 = 本仙尤喜不务空名者。	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_CHANGE.1.2 = 行之于途而应于心……	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_FGFQ = 浮骨法器	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_FYSZ = 馥郁手杖	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_JJJ = 金蛟剪	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_HYTX = 混元太虚跃迁台	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_HYJDITEM = 混元金斗	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_YUNXIAO_HYJD = 混元金斗	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_FENICE3 = 玄鸟	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_FENICE2 = 玄鸟	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_FENICE1 = 玄鸟	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_BLOWDART = 玄羽吹箭	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_JINGWEI_FAN = 青出于蓝	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_FANSHENGXIANG = 返生香	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZCMJ = 紫姹面甲	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZYG_DESK = 桌子	
[00:03:31]: [DangTienScan] CN | STRINGS.NAMES.XD_ZIYUNGE = 紫云阁	
