path	original	line	comment
ACTIONFAIL.GIVEALLTOPLAYER.BUSY	我马上再试试。	220	给于正在忙碌的玩家一组物品
ACTIONFAIL.HARVEST.DOER_ISNT_MODULE_OWNER	它似乎对科学讨论没有兴趣。	224	暂无注释
ACTIONFAIL.HEAL.NOT_MERM	我猜它只对鱼人有效。	228	暂无注释
ACTIONFAIL.HERD_FOLLOWERS.WEBBERONLY	虽然它们不听我的，但是可能会听韦伯的。	232	不是韦伯，无法召集蜘蛛
ACTIONFAIL.HITCHUP.NEEDBEEF	有铃铛就能和皮弗娄牛交友了。	236	将牛拴起来 没有牛
ACTIONFAIL.HITCHUP.NEEDBEEF_CLOSER	我的皮弗娄牛伙计离我太远了。	237	将牛拴起来 牛太远
ACTIONFAIL.HITCHUP.BEEF_HITCHED	我的皮弗娄牛已经拴好了。	238	将牛拴起来 牛已经被拴起来了
ACTIONFAIL.HITCHUP.INMOOD	我的皮弗娄牛看起来太好动了。	239	将牛拴起来 牛在发情
ACTIONFAIL.LOWER_SAIL_FAIL[0]	哎呦！	250	降帆失败
ACTIONFAIL.LOWER_SAIL_FAIL[1]	根本慢不下来！	251	降帆失败
ACTIONFAIL.LOWER_SAIL_FAIL[2]	失败是成功的进行时！	252	降帆失败
ACTIONFAIL.MARK.ALREADY_MARKED	我已经选好了。	256	选择牛 已经选择了
ACTIONFAIL.MARK.NOT_PARTICIPANT	我没有选手参赛。	257	选择牛 不是参与者（已经开始了）?
ACTIONFAIL.MOUNT.TARGETINCOMBAT	我还没笨到去惹一头愤怒的皮弗娄牛！	261	骑乘，牛正在战斗
ACTIONFAIL.MOUNT.INUSE	有人抢先骑上去了！	262	骑乘（牛被占据）
ACTIONFAIL.MOUNT.SLEEPING	该醒醒了！	263	上牛  牛在睡觉
ACTIONFAIL.OCEAN_FISHING_POND.WRONGGEAR	这根钓竿不适合在池塘钓鱼。	267	拿深海鱼竿去普通的池子里钓鱼
ACTIONFAIL.OPEN_CRAFTING.PROFESSIONALCHEF	烹饪水平还不够。	271	别人无法通过 点击便携调料站 点开制作面板
ACTIONFAIL.OPEN_CRAFTING.SHADOWMAGIC	那可不是科学。	272	别人无法通过 打开老麦的暗影制作面板
ACTIONFAIL.PICK.NOTHING_INSIDE	它是空的。	276	暂无注释
ACTIONFAIL.PICK.STUCK	卡住了。	277	暂无注释
ACTIONFAIL.PICKUP.RESTRICTION	技能不够熟练，用不了。	281	熔炉模式下捡起错误的武器
ACTIONFAIL.PICKUP.INUSE	科学告诉我，我该等轮到我。	282	捡起已经打开的容器
ACTIONFAIL.PICKUP.NOTMINE_YOTC[0]	你可不是我的胡萝卜鼠。	286	捡起别人的胡萝卜鼠
ACTIONFAIL.PICKUP.NOTMINE_YOTC[1]	噢，它咬我！	287	捡起别人的胡萝卜鼠
ACTIONFAIL.PICKUP.FULL_OF_CURSES	我才不要碰。	290	捡起诅咒时 诅咒已满
ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.GENERIC	不剩什么需要学的了。	294	研究作物失败
ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.FERTILIZER	我不想知道太多细节。	295	研究肥料失败
ACTIONFAIL.POUR_WATER.OUT_OF_WATER	糟糕，没水了。	299	水壶空了
ACTIONFAIL.POUR_WATER_GROUNDTILE.OUT_OF_WATER	我的浇水壶干了。	303	水壶空了
ACTIONFAIL.REPAIR.WRONGPIECE	那不太对吧。	334	化石骨架拼接错误
ACTIONFAIL.REPLATE.MISMATCH	它需要另一种碟子。	338	暴食-换盘子换错了 比如用碗换碟子
ACTIONFAIL.REPLATE.SAMEDISH	我只需要用一个碟子。	339	暴食-换盘子已经换了
ACTIONFAIL.ROW_FAIL.BAD_TIMING0	太快了！	343	划船失败 第1次
ACTIONFAIL.ROW_FAIL.BAD_TIMING1	时机不对！	344	划船失败 第2次
ACTIONFAIL.ROW_FAIL.BAD_TIMING2	别再犯了！	345	划船失败 第3次
ACTIONFAIL.RUMMAGE.GENERIC	我不能那么做。	349	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	他们在垃圾里埋头寻找。	350	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	烹饪水平还不够。	351	非厨师尝试打开便携锅
ACTIONFAIL.RUMMAGE.NOTAMERM	我不认为鱼人会为此感到高兴。	352	往只有鱼人能用的箱子里放东西 但是你不是鱼人
ACTIONFAIL.RUMMAGE.NOTSOULJARHANDLER	此非我杯茶。	353	暂无注释
ACTIONFAIL.RUMMAGE.RESTRICTED	调查终止……我无能为力。	354	暂无注释
ACTIONFAIL.SADDLE.TARGETINCOMBAT	它生气时决不允许我那样做。	358	给战斗状态的牛上鞍
ACTIONFAIL.SHAVE.AWAKEBEEFALO	我才不会在他醒着时去弄。	362	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	我不能给那个剃毛！	363	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	光的连毛茬子也不剩！	364	给没毛的牛刮毛
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	我才不薅别人家皮弗娄牛的毛！	366	给别人的牛刮毛
ACTIONFAIL.SLAUGHTER.TOOFAR	它逃走了。	374	屠杀？？ 因为太远而失败
ACTIONFAIL.START_CARRAT_RACE.NO_RACERS	我肯定是漏掉了什么东西。	378	试图开始胡萝卜鼠比赛 但是没有放胡萝卜鼠
ACTIONFAIL.STORE.GENERIC	装满了。	382	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	这东西不能装进那里。	383	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	我应该等轮到我的时候。	384	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	烹饪水平还不够。	385	非厨师尝试往便携锅里塞东西
ACTIONFAIL.STORE.NOTSOULJARHANDLER	我玩不了灵魂。	386	暂无注释
ACTIONFAIL.STORE.RESTRICTED	调查终止……我无能为力。	387	暂无注释
ACTIONFAIL.TEACH.KNOWN	我已经知道那个了。	391	学习已经知道的蓝图
ACTIONFAIL.TEACH.CANTLEARN	我无法学习那个。	392	学习无法学习的蓝图
ACTIONFAIL.TEACH.WRONGWORLD	这地图在这用不了。	393	学习另外一个世界的地图
ACTIONFAIL.TEACH.MESSAGEBOTTLEMANAGER_NOT_FOUND	光线太暗，我什么都看不到！	394	在地下使用漂流瓶
ACTIONFAIL.TEACH.STASH_MAP_NOT_FOUND	没看到“X就是地点的标志”。那帮家伙准是忘记画了。	395	宝藏图纸没有宝藏
ACTIONFAIL.UNLOCK.WRONGKEY	我做不到。	405	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_INVALID_TARGET	我不可能做到！	413	对无效目标使用牛铃铛
ACTIONFAIL.USEITEMON.BEEF_BELL_ALREADY_USED	这头弗娄牛已经属于别人了。	414	对已有主人的牛使用牛铃铛
ACTIONFAIL.USEITEMON.BEEF_BELL_HAS_BEEF_ALREADY	我不需要整个牛群。	415	已有牛 使用牛铃铛
ACTIONFAIL.USEITEMON.NOT_MINE	这是别人的。	416	暂无注释
ACTIONFAIL.USEITEMON.CANNOT_FIX_DRONE	损坏太严重，无法修复。	417	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	哎呀！那不对。	421	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	我有点忙！！	422	克劳斯
ACTIONFAIL.WRAPBUNDLE.EMPTY	我需要有东西来打包。	426	打包纸是空的
ACTIONFAIL.WRITE.GENERIC	我觉得它现在这样挺好。	430	写字失败
ACTIONFAIL.WRITE.INUSE	只有能容纳一个涂鸦者的空间。	431	写字 正在使用中
ACTIONFAIL.YOTB_STARTCONTEST.DOESNTWORK	看来这里并不支持艺术。	435	牛年活动 NPC不在工作
ACTIONFAIL.YOTB_STARTCONTEST.ALREADYACTIVE	他可能忙着比别的比赛呢。	436	牛年活动 NPC已经激活
ACTIONFAIL.YOTB_STARTCONTEST.NORESPONSE	他一定是游荡到别处去了。	437	暂无注释
ACTIONFAIL.YOTB_STARTCONTEST.RIGHTTHERE	他忙着。	438	暂无注释
ACTIONFAIL.YOTB_UNLOCKSKIN.ALREADYKNOWN	一个熟悉的样式……这个我已经掌握了！	442	牛年活动 解锁已知皮肤
ACTIONFAIL.CARVEPUMPKIN.INUSE	好像我们有一样的想法。	446	暂无注释
ACTIONFAIL.CARVEPUMPKIN.BURNING	火焰正在灼伤我。	447	暂无注释
ACTIONFAIL.DECORATESNOWMAN.INUSE	有人占着雪人呢！	451	暂无注释
ACTIONFAIL.DECORATESNOWMAN.HASHAT	雪人可不能双戴帽！	452	暂无注释
ACTIONFAIL.DECORATESNOWMAN.STACKEDTOOHIGH	它太高了！	453	暂无注释
ACTIONFAIL.DECORATESNOWMAN.MELTING	我做不到！快要融化了！	454	暂无注释
ACTIONFAIL.POUNCECAPTURE.MISSED	可恶，我漏掉了。	470	暂无注释
ACTIONFAIL.DIVEGRAB.MISSED	可恶，我漏掉了。	474	暂无注释
ACTIONFAIL.SOAKIN.NOSPACE	无法置换位置。	478	there's someone in that space. there's no room there.  --暂无注释
ANNOUNCE_CANNOT_BUILD.NO_INGREDIENTS	我似乎缺少一些重要组件。	483	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_TECH	这个需要投入更多科研！	484	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_STATION	我现在制作不了。	485	暂无注释
ACTIONFAIL_GENERIC	我做不到。	487	动作失败
ANNOUNCE_BOAT_LEAK	水越来越多了。	488	船撞了个洞
ANNOUNCE_BOAT_SINK	我不想淹死！	489	船漏水
ANNOUNCE_PREFALLINVOID	我感觉到事态的严重性！	490	暂无注释
ANNOUNCE_DIG_DISEASE_WARNING	它看起来已经好多了。	491	挖起生病的植物
ANNOUNCE_PICK_DISEASE_WARNING	嗯啊，本来就是那味道吗？	492	（植物生病）
ANNOUNCE_ADVENTUREFAIL	这次不太顺利。我必须再试一次。	493	没调用（废案）
ANNOUNCE_MOUNT_LOWHEALTH	这野兽似乎受伤了。	494	牛血量过低
ANNOUNCE_BEES	蜜蜂！！！！	513	戴养蜂帽被蜜蜂蛰
ANNOUNCE_BOOMERANG	噢！我应该尽量接住它！	514	回旋镖
ANNOUNCE_CHARLIE	那情景...好熟悉！你好？	515	查理即将攻击
ANNOUNCE_CHARLIE_ATTACK	噢！有东西咬我！	516	被查理攻击
ANNOUNCE_COLD	好冷！	518	过冷
ANNOUNCE_HOT	需要...冰...或...阴凉处！	519	过热
ANNOUNCE_CRAFTING_FAIL	缺少一些关键成分。	520	没调用
ANNOUNCE_DEERCLOPS	听上去是个大家伙！	521	boss来袭
ANNOUNCE_CAVEIN	天花板在晃动！	522	要地震了？？？
ANNOUNCE_ANTLION_SINKHOLE[0]	地面在晃动！	525	蚁狮地震
ANNOUNCE_ANTLION_SINKHOLE[1]	地震！	526	蚁狮地震
ANNOUNCE_ANTLION_SINKHOLE[2]	可怕的地震波！	527	蚁狮地震
ANNOUNCE_ANTLION_TRIBUTE[0]	请允许我致敬。	531	向蚁狮致敬
ANNOUNCE_ANTLION_TRIBUTE[1]	给你的贡品，伟大的蚁狮。	532	给蚁狮上供
ANNOUNCE_ANTLION_TRIBUTE[2]	那会暂时让它安静...	533	给蚁狮上供
ANNOUNCE_SACREDCHEST_YES	我认为我值得。	535	远古宝箱物品正确给出蓝图
ANNOUNCE_SACREDCHEST_NO	它不喜欢那个。	536	远古宝箱
ANNOUNCE_DUSK	不早了。天马上就黑了。	537	进入黄昏
ANNOUNCE_EAT.GENERIC	好吃！	555	吃东西
ANNOUNCE_EAT.PAINFUL	我感觉不太好。	556	吃怪物肉
ANNOUNCE_EAT.SPOILED	呸！太难吃了！	557	吃腐烂食物
ANNOUNCE_EAT.STALE	我觉得它开始变质了。	558	吃黄色食物
ANNOUNCE_EAT.INVALID	我不吃那玩意！	559	拒吃
ANNOUNCE_EAT.YUCKY	把那个放进嘴里太恶心了！	560	吃红色食物
ANNOUNCE_ENCUMBERED[0]	气喘...吁吁...	575	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[1]	我应该制造...一台起重机...	576	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[2]	抬起来...用你的背...	577	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[3]	这不是...绅士该做的...工作...	578	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[4]	为了...科学！	579	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[5]	这东西...正把我头发弄得一团糟吗？	580	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[6]	哼...！	581	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[7]	气喘...吁吁...	582	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[8]	这是最糟糕的...实验...	583	搬运雕像、可疑的大理石
ANNOUNCE_ATRIUM_DESTABILIZING[0]	我该走了！	587	中庭击杀boss后即将刷新
ANNOUNCE_ATRIUM_DESTABILIZING[1]	那是什么？！	588	中庭震动
ANNOUNCE_ATRIUM_DESTABILIZING[2]	这里不安全。	589	中庭击杀boss后即将刷新
ANNOUNCE_RUINS_RESET	所有的怪兽都回来了！	591	地下重置
ANNOUNCE_SNARED	尖锐！尖锐的骨头！！	592	远古嘤嘤怪的骨笼
ANNOUNCE_SNARED_IVY	救命啊！花园正在反击!	593	被针刺旋花攻击
ANNOUNCE_REPELLED	它有保护！	594	嘤嘤怪保护状态
ANNOUNCE_ENTER_DARK	伸手不见五指！	595	进入黑暗
ANNOUNCE_ENTER_LIGHT	我又可以看到东西了！	596	进入光源
ANNOUNCE_FREEDOM	我自由了！我终于自由了！	597	没调用（废案）
ANNOUNCE_HIGHRESEARCH	感觉我现在太聪明了！	598	没调用（废案）
ANNOUNCE_HOUNDS	你听到了吗？	599	猎犬将至
ANNOUNCE_WORMS	你感觉到了吗？	600	蠕虫袭击
ANNOUNCE_WORMS_BOSS	听起来不太妙？	601	暂无注释
ANNOUNCE_ACIDBATS	你听到了吗？	602	暂无注释
ANNOUNCE_HUNGRY	我好饿！	603	饥饿
ANNOUNCE_HUNT_BEAST_NEARBY	新鲜的足迹，那只野兽肯定就在附近。	604	即将找到野兽
ANNOUNCE_HUNT_LOST_TRAIL	野兽的足迹到这里就没了。	605	猎物（大象脚印丢失）
ANNOUNCE_HUNT_LOST_TRAIL_SPRING	这种湿土留不下脚印。	606	大猎物丢失踪迹
ANNOUNCE_HUNT_START_FORK	这个踪迹看起来有危险。	607	暂无注释
ANNOUNCE_HUNT_SUCCESSFUL_FORK	没有野兽能与我的智慧匹敌！	608	暂无注释
ANNOUNCE_HUNT_WRONG_FORK	我感到有东西在看着我。	609	暂无注释
ANNOUNCE_HUNT_AVOID_FORK	这个踪迹看起来安全些了。	610	暂无注释
ANNOUNCE_INV_FULL	我拿不了更多的东西了！	611	身上的物品满了
ANNOUNCE_KNOCKEDOUT	嗷，我的头！	612	被催眠
ANNOUNCE_LOWRESEARCH	我没从那儿学到什么。	613	没调用（废案）
ANNOUNCE_MOSQUITOS	啊！滚开！	614	没调用
ANNOUNCE_NOWARDROBEONFIRE	它着火了，我换不了衣服！	615	橱柜着火
ANNOUNCE_NODANGERGIFT	怪物在四周，我无法拆礼物！	616	周围有危险的情况下打开礼物
ANNOUNCE_NOMOUNTEDGIFT	我得先从皮弗娄牛身上下来。	617	骑牛的时候打开礼物
ANNOUNCE_NODANGERSLEEP	我很害怕就这样睡死过去！	618	危险，不能睡觉
ANNOUNCE_NODAYSLEEP	光线太亮了。	619	白天睡帐篷
ANNOUNCE_NODAYSLEEP_CAVE	我不累。	620	洞穴里白天睡帐篷
ANNOUNCE_NOHUNGERSLEEP	我太饿了，睡不着，我肚子的咕咕叫声会让我一直醒着的！	621	饿了无法睡觉
ANNOUNCE_NOSLEEPONFIRE	我没有在那里面睡觉的强烈欲望。	622	营帐着火无法睡觉
ANNOUNCE_NODANGERSIESTA	现在午休太危险了！	624	危险，不能午睡
ANNOUNCE_NONIGHTSIESTA	晚上该睡觉，而不是午休。	625	夜晚睡凉棚
ANNOUNCE_NONIGHTSIESTA_CAVE	我不认为我在这里能真正放松下来。	626	在洞穴里夜晚睡凉棚
ANNOUNCE_NOHUNGERSIESTA	我太饿了，没法午休！	627	饱度不足无法午睡
ANNOUNCE_NO_TRAP	好吧，挺简单的。	628	没有陷阱？？？没调用
ANNOUNCE_PECKED	噢！停下！	629	被小高鸟啄
ANNOUNCE_QUAKE	听起来不妙。	630	地震
ANNOUNCE_RESEARCH	活到老学到老！	631	没调用
ANNOUNCE_SHELTER	大树，多谢你保护我免受自然侵害！	632	下雨天躲树下
ANNOUNCE_THORNS	噢！	633	玫瑰、仙人掌、荆棘扎手
ANNOUNCE_BURNT	呀！好烫！	634	烧完了
ANNOUNCE_TORCH_OUT	火灭了！	635	火把用完了
ANNOUNCE_THURIBLE_OUT	它消耗殆尽了。	636	香炉燃尽
ANNOUNCE_FAN_OUT	我的风扇已随风消逝。	637	小风车停了
ANNOUNCE_COMPASS_OUT	这个指南针再也指不了方向了。	638	指南针用完了
ANNOUNCE_TRAP_WENT_OFF	哎呀。	639	触发陷阱（例如冬季陷阱）
ANNOUNCE_UNIMPLEMENTED	噢！这应该还没准备好。	640	没调用
ANNOUNCE_WORMHOLE	头脑正常的人可不会干那事。	641	跳虫洞
ANNOUNCE_TOWNPORTALTELEPORT	我不确定那是不是科学。	643	豪华传送
ANNOUNCE_CANFIX	\n我觉得我能修好这个！	644	墙壁可以修理
ANNOUNCE_ACCOMPLISHMENT	我觉得好有成就感！	645	没调用
ANNOUNCE_ACCOMPLISHMENT_DONE	如果我的朋友现在能看到我就好了...	646	没调用
ANNOUNCE_INSUFFICIENTFERTILIZER	你还饿吗，植物？	647	土地肥力不足
ANNOUNCE_TOOL_SLIP	哦，那工具太滑手了！	648	工具滑出
ANNOUNCE_LIGHTNING_DAMAGE_AVOIDED	躲过了那可怕的闪电！	649	规避闪电
ANNOUNCE_TOADESCAPING	癞蛤蟆正在失去兴趣。	650	蟾蜍正在逃跑
