这值得一试。	Đáng để thử.
或许，这不是好主意。	Có lẽ đây không phải ý hay.
我不会把那东西粘上去的！	Ta sẽ không dán thứ đó lên đâu!
这个宝石在这里不起作用。	Viên bảo thạch này ở đây không có tác dụng.
它的形状有些不对。	Hình dạng nó có gì đó không đúng.
一颗蘑菇可能会有更多的用处。	Một cây nấm có lẽ dùng được nhiều việc hơn.
一块活木头可能会有更多的用处。	Một khúc gỗ sống có lẽ dùng được nhiều việc hơn.
这些蘑菇好像不愿意被种下去！	Mấy cây nấm này hình như không chịu để trồng!
我们已经把一些东西放在那里了。	Chúng ta đã đặt thứ gì đó ở đó rồi.
这儿已经有一顿饭了。	Chỗ này đã có một bữa rồi.
它肯定不想吃那个。	Nó chắc chắn không muốn ăn cái đó.
我们已经知道那个了。	Chuyện đó chúng ta biết rồi.
即使是科学也不能把那玩意变成雕像。	Ngay cả khoa học cũng chẳng biến thứ đó thành tượng được.
它不会复活。	Nó sẽ không sống lại.
组装不对。	Lắp không đúng.
我需要看到月亮才行。	Ta phải nhìn thấy mặt trăng mới được.
我得先清理一下。	Ta phải dọn dẹp trước đã.
现在这样太危险了。	Giờ mà làm vậy thì nguy hiểm quá.
现在已经太晚了。	Bây giờ đã quá muộn.
我需要去买代币。	Ta cần đi mua thẻ.
已经有游戏在进行中了。	Đã có ván đang chơi rồi.
我的口袋不能同时装下它们	Túi ta không chứa cùng lúc cả hai được
也许我应该用不同种类的燃料进行实验……	Có lẽ ta nên thử nghiệm với loại nhiên liệu khác……
树没长回来之前应该给不了东西。	Cây chưa mọc lại thì chắc chẳng cho được gì.
我不会说猴话。	Ta không biết nói tiếng khỉ.
她好像在忙。	Nàng ta hình như đang bận.
不对，不对。	Không đúng, không đúng.
你的口袋太满了！	Túi ngươi đầy quá rồi!
不省人事了。	Bất tỉnh rồi.
它似乎对科学讨论没有兴趣。	Xem ra nó chẳng hứng thú gì với chuyện khoa học.
我猜它只对鱼人有效。	Ta đoán nó chỉ hiệu nghiệm với người cá.
虽然它们不听我的，但是可能会听韦伯的。	Tuy chúng không nghe ta, nhưng có lẽ sẽ nghe Webber.
有铃铛就能和皮弗娄牛交友了。	Có chuông là kết bạn được với Beefalo.
我的皮弗娄牛伙计离我太远了。	Bạn Beefalo của ta ở xa quá.
我的皮弗娄牛已经拴好了。	Beefalo của ta buộc xong rồi.
我的皮弗娄牛看起来太好动了。	Beefalo của ta xem chừng hiếu động quá.
哎呦！	Ui da!
根本慢不下来！	Không tài nào chậm lại được!
失败是成功的进行时！	Thất bại là thành công đang diễn ra!
我已经选好了。	Ta chọn xong rồi.
我没有选手参赛。	Ta không có đấu thủ nào dự thi.
我还没笨到去惹一头愤怒的皮弗娄牛！	Ta chưa ngốc tới mức đi chọc một con Beefalo đang giận!
有人抢先骑上去了！	Có người cưỡi lên trước rồi!
该醒醒了！	Tỉnh dậy thôi!
这根钓竿不适合在池塘钓鱼。	Cần câu này không hợp câu ở ao.
烹饪水平还不够。	Tay nghề nấu nướng chưa đủ.
那可不是科学。	Cái đó đâu phải khoa học.
它是空的。	Nó trống không.
卡住了。	Kẹt rồi.
技能不够熟练，用不了。	Kỹ năng chưa thuần thục, dùng không được.
你可不是我的胡萝卜鼠。	Ngươi đâu phải con chuột cà rốt của ta.
噢，它咬我！	Ối, nó cắn ta!
我才不要碰。	Ta không thèm đụng vào.
不剩什么需要学的了。	Chẳng còn gì để học nữa.
我不想知道太多细节。	Ta không muốn biết quá nhiều chi tiết.
糟糕，没水了。	Hỏng rồi, hết nước.
我的浇水壶干了。	Bình tưới của ta cạn rồi.
那不太对吧。	Thế thì không ổn lắm.
它需要另一种碟子。	Nó cần một loại đĩa khác.
我只需要用一个碟子。	Ta chỉ cần dùng một cái đĩa.
太快了！	Nhanh quá!
时机不对！	Không đúng lúc!
别再犯了！	Đừng phạm lại nữa!
我不能那么做。	Ta không thể làm vậy.
他们在垃圾里埋头寻找。	Bọn chúng đang vùi đầu bới rác.
我不认为鱼人会为此感到高兴。	Ta không nghĩ người cá sẽ vui vì chuyện này.
此非我杯茶。	Đây không phải sở thích của ta.
调查终止……我无能为力。	Điều tra chấm dứt…… ta bất lực.
它生气时决不允许我那样做。	Lúc nó giận thì tuyệt không cho ta làm vậy.
我才不会在他醒着时去弄。	Ta không dại đụng vào lúc hắn còn thức.
我不能给那个剃毛！	Ta không cạo lông cái đó được!
光的连毛茬子也不剩！	Nhẵn đến gốc lông cũng chẳng còn!
我才不薅别人家皮弗娄牛的毛！	Ta không đi vặt lông Beefalo nhà người khác!
它逃走了。	Nó chạy mất rồi.
我肯定是漏掉了什么东西。	Chắc chắn ta bỏ sót thứ gì đó.
装满了。	Đầy rồi.
这东西不能装进那里。	Thứ này không nhét vào đó được.
我应该等轮到我的时候。	Ta nên đợi đến lượt mình.
我玩不了灵魂。	Ta không chơi với linh hồn được.
我已经知道那个了。	Chuyện đó ta biết rồi.
我无法学习那个。	Ta không học được cái đó.
这地图在这用不了。	Bản đồ này ở đây dùng không được.
光线太暗，我什么都看不到！	Tối quá, ta chẳng thấy gì cả!
没看到“X就是地点的标志”。那帮家伙准是忘记画了。	Chẳng thấy dấu “X là chỗ này” đâu. Bọn kia chắc quên vẽ rồi.
我做不到。	Ta làm không được.
我不可能做到！	Ta không thể làm nổi!
这头弗娄牛已经属于别人了。	Con Beefalo này đã thuộc về người khác.
我不需要整个牛群。	Ta không cần cả đàn.
这是别人的。	Cái này của người khác.
损坏太严重，无法修复。	Hỏng quá nặng, không sửa được.
哎呀！那不对。	Ây da! Không đúng rồi.
我有点忙！！	Ta hơi bận!!
我需要有东西来打包。	Ta cần thứ gì đó để gói lại.
我觉得它现在这样挺好。	Ta thấy nó thế này là ổn rồi.
只有能容纳一个涂鸦者的空间。	Chỗ này chỉ chứa được một người vẽ.
看来这里并不支持艺术。	Xem ra nơi này chẳng ưa nghệ thuật.
他可能忙着比别的比赛呢。	Hắn chắc đang bận thi cuộc khác.
他一定是游荡到别处去了。	Hắn hẳn đã lang thang đi đâu mất.
他忙着。	Hắn đang bận.
一个熟悉的样式……这个我已经掌握了！	Một kiểu quen thuộc…… cái này ta nắm rồi!
火焰正在灼伤我。	Lửa đang thiêu ta.
有人占着雪人呢！	Có người chiếm người tuyết rồi!
雪人可不能双戴帽！	Người tuyết đâu đội được hai mũ!
它太高了！	Nó cao quá!
我做不到！快要融化了！	Ta làm không được! Sắp tan chảy rồi!
可恶，我漏掉了。	Đáng ghét, ta bỏ lỡ mất.
无法置换位置。	Không đổi được vị trí.
我似乎缺少一些重要组件。	Xem ra ta thiếu vài bộ phận quan trọng.
这个需要投入更多科研！	Cái này cần đầu tư nghiên cứu thêm!
我现在制作不了。	Giờ ta chế không được.
水越来越多了。	Nước mỗi lúc một nhiều.
我不想淹死！	Ta không muốn chết đuối!
我感觉到事态的严重性！	Ta cảm nhận được chuyện đã nghiêm trọng!
它看起来已经好多了。	Xem chừng nó đã khá hơn nhiều.
嗯啊，本来就是那味道吗？	Ừm, vốn dĩ là vị đó sao?
这次不太顺利。我必须再试一次。	Lần này chưa suôn sẻ. Ta phải thử lại.
这野兽似乎受伤了。	Con thú này xem chừng bị thương.
蜜蜂！！！！	Ong!!!!
噢！我应该尽量接住它！	Ối! Ta phải cố mà đỡ lấy nó!
那情景...好熟悉！你好？	Cảnh này... quen thật! Xin chào?
噢！有东西咬我！	Ối! Có thứ gì cắn ta!
好冷！	Lạnh quá!
需要...冰...或...阴凉处！	Cần... băng... hoặc... chỗ râm!
缺少一些关键成分。	Thiếu vài thành phần then chốt.
听上去是个大家伙！	Nghe như một gã to xác!
天花板在晃动！	Trần đang rung!
地面在晃动！	Mặt đất đang rung!
地震！	Động đất!
可怕的地震波！	Sóng địa chấn đáng sợ!
请允许我致敬。	Xin cho ta được kính lễ.
给你的贡品，伟大的蚁狮。	Cống phẩm dâng ngài, Antlion vĩ đại.
那会暂时让它安静...	Thế sẽ khiến nó yên tĩnh một lúc...
我认为我值得。	Ta nghĩ mình xứng đáng.
它不喜欢那个。	Nó không thích cái đó.
不早了。天马上就黑了。	Không sớm nữa. Trời sắp tối rồi.
好吃！	Ngon!
我感觉不太好。	Ta thấy không khoẻ.
呸！太难吃了！	Phì! Khó ăn quá!
我觉得它开始变质了。	Ta thấy nó bắt đầu hỏng rồi.
我不吃那玩意！	Ta không ăn thứ đó!
把那个放进嘴里太恶心了！	Cho cái đó vào miệng thì kinh quá!
气喘...吁吁...	Thở... hổn hển...
我应该制造...一台起重机...	Ta nên chế... một cái cần cẩu...
抬起来...用你的背...	Nâng lên... dùng lưng mà nâng...
这不是...绅士该做的...工作...	Đây không phải... việc của bậc quân tử...
为了...科学！	Vì... khoa học!
这东西...正把我头发弄得一团糟吗？	Thứ này... đang làm tóc ta rối tung à?
哼...！	Hừ...!
这是最糟糕的...实验...	Đây là thí nghiệm... tệ nhất...
我该走了！	Ta phải đi thôi!
那是什么？！	Cái gì thế?!
这里不安全。	Chỗ này không an toàn.
所有的怪兽都回来了！	Đám quái vật quay lại hết rồi!
尖锐！尖锐的骨头！！	Nhọn! Xương nhọn!!
救命啊！花园正在反击!	Cứu với! Khu vườn đang phản kích!
它有保护！	Nó có lớp bảo vệ!
伸手不见五指！	Tối đến mức giơ tay chẳng thấy ngón!
我又可以看到东西了！	Ta lại nhìn thấy được rồi!
我自由了！我终于自由了！	Ta tự do rồi! Cuối cùng cũng tự do!
感觉我现在太聪明了！	Ta thấy mình giờ thông minh quá!
你听到了吗？	Ngươi có nghe thấy không?
你感觉到了吗？	Ngươi có cảm thấy không?
听起来不太妙？	Nghe chẳng lành?
我好饿！	Ta đói quá!
新鲜的足迹，那只野兽肯定就在附近。	Dấu chân còn mới, con thú đó chắc chắn ở gần đây.
野兽的足迹到这里就没了。	Dấu chân con thú đến đây là mất.
这种湿土留不下脚印。	Loại đất ẩm này không giữ được dấu chân.
这个踪迹看起来有危险。	Dấu vết này xem chừng nguy hiểm.
没有野兽能与我的智慧匹敌！	Không con thú nào sánh được trí tuệ của ta!
我感到有东西在看着我。	Ta cảm thấy có thứ gì đang nhìn mình.
这个踪迹看起来安全些了。	Dấu vết này xem ra an toàn hơn.
我拿不了更多的东西了！	Ta không cầm thêm được nữa!
嗷，我的头！	Ui, đầu ta!
我没从那儿学到什么。	Ta chẳng học được gì từ đó.
啊！滚开！	A! Cút đi!
它着火了，我换不了衣服！	Nó đang cháy, ta không thay đồ được!
怪物在四周，我无法拆礼物！	Quái vật vây quanh, ta không mở quà được!
我得先从皮弗娄牛身上下来。	Ta phải xuống khỏi lưng Beefalo trước đã.
我很害怕就这样睡死过去！	Ta sợ cứ thế ngủ luôn mà chết!
光线太亮了。	Sáng quá.
我不累。	Ta không mệt.
我太饿了，睡不着，我肚子的咕咕叫声会让我一直醒着的！	Ta đói quá, ngủ không nổi, bụng réo ầm ĩ thế này thì thức trắng mất!
我没有在那里面睡觉的强烈欲望。	Ta chẳng tha thiết gì chuyện ngủ trong đó.
现在午休太危险了！	Giờ mà chợp mắt thì nguy hiểm quá!
晚上该睡觉，而不是午休。	Ban đêm thì phải ngủ, chứ không phải chợp mắt.
我不认为我在这里能真正放松下来。	Ta không nghĩ ở đây mình thật sự thả lỏng được.
我太饿了，没法午休！	Ta đói quá, chợp mắt không nổi!
好吧，挺简单的。	Được rồi, khá đơn giản.
噢！停下！	Ối! Dừng lại!
听起来不妙。	Nghe chẳng lành.
活到老学到老！	Sống đến già học đến già!
大树，多谢你保护我免受自然侵害！	Cây lớn ơi, đa tạ ngươi che chở ta khỏi thiên nhiên khắc nghiệt!
噢！	Ối!
呀！好烫！	Á! Nóng quá!
火灭了！	Lửa tắt rồi!
它消耗殆尽了。	Nó đã cạn sạch.
我的风扇已随风消逝。	Cái quạt của ta đã theo gió mà đi.
这个指南针再也指不了方向了。	Cái la bàn này không chỉ hướng được nữa.
哎呀。	Ây da.
噢！这应该还没准备好。	Ối! Cái này chắc chưa sẵn sàng.
头脑正常的人可不会干那事。	Người đầu óc bình thường chẳng ai làm chuyện đó.
我不确定那是不是科学。	Ta không chắc đó có phải khoa học không.
\n我觉得我能修好这个！	\nTa nghĩ ta sửa được cái này!
我觉得好有成就感！	Ta thấy thật có thành tựu!
如果我的朋友现在能看到我就好了...	Giá mà bạn ta lúc này nhìn thấy được...
你还饿吗，植物？	Ngươi còn đói không, cây?
哦，那工具太滑手了！	Ồ, cái công cụ đó trơn tay quá!
躲过了那可怕的闪电！	Né được tia sét đáng sợ đó rồi!
癞蛤蟆正在失去兴趣。	Con cóc đang mất hứng.
癞蛤蟆逃走了。	Con cóc chạy mất rồi.
哦，水。	Ồ, nước.
我的衣服好像会渗水。	Áo ta hình như thấm nước.
漫漫水路！	Đường nước dằng dặc!
我快达到饱和点了。	Ta sắp tới điểm bão hoà rồi.
衣服弄湿了，但是还活着。	Áo ướt rồi, nhưng vẫn còn sống.
我能看见光!	Ta thấy được ánh sáng!
呜呜呜呜呜！！	Hu hu hu hu hu!!
我的人性要开始流失了...	Nhân tính của ta bắt đầu trôi mất rồi...
我刚刚听到树在尖叫吗？	Ta vừa nghe cây thét lên đấy à?
现在没有办法打败它了！！	Giờ chẳng có cách nào đánh bại nó!!
它的链条松开了！	Xích của nó lỏng ra rồi!
它在求救！	Nó đang kêu cứu!
里面有东西。	Bên trong có thứ gì đó.
快挖出来了。	Sắp đào ra rồi.
你自由了！	Ngươi tự do rồi!
啊！	A!
那些树看上去没那么可怕了。	Mấy cái cây đó trông đỡ đáng sợ hơn rồi.
可能没泡够时间……	Có lẽ ngâm chưa đủ lâu……
我应该跟其他人分享的。	Lẽ ra ta nên chia cho người khác.
满满的节日精神！	Đầy ắp không khí lễ hội!
冬季盛宴快乐！	Yến tiệc mùa đông vui vẻ!
节过的真快……	Lễ qua nhanh thật……
让我帮帮你。	Để ta giúp ngươi.
焕然一新！	Mới mẻ hẳn ra!
好多了，谢谢啦。	Đỡ nhiều rồi, đa tạ.
是谁发出的信号？	Ai phát tín hiệu vậy?
那个闪光会带来麻烦。	Ánh chớp đó sẽ mang tới phiền phức.
不好，海怪！	Không ổn, thuỷ quái!
陛下。	Bệ hạ.
殿下。	Điện hạ.
我的君主！	Quân chủ của ta!
“陛下”。	“Bệ hạ”.
“殿下”。	“Điện hạ”.
“大王”！	“Đại vương”!
我带的是正电！	Ta mang điện dương!
动手打！	Ra tay đi!
我现在感觉安全多了！	Giờ ta thấy an toàn hơn nhiều!
生产力提高！	Năng suất tăng lên!
干的像薇克巴顿的讲义！	Khô như giáo án của Wickerbottom!
顿时觉得神清气爽，再也不累了！	Bỗng thấy tinh thần sảng khoái, chẳng còn mệt nữa!
电没了，但是还残存静电。	Hết điện rồi, nhưng vẫn còn chút tĩnh điện.
肌肉紧实的感觉很快就消失了。	Cảm giác cơ bắp săn chắc mau chóng biến mất.
虽然时间不长，但是还不错。	Tuy không lâu, nhưng cũng không tệ.
拖延症又回来了...	Bệnh trì hoãn lại tái phát rồi...
我的干旱期结束了。	Kỳ hạn hán của ta kết thúc rồi.
我……（哈欠）再也……不累了……	Ta……(ngáp) chẳng còn…… mệt nữa……
所有辛苦，都被折断。	Bao công khó nhọc, gãy sạch.
收线也许管用。	Thu dây có lẽ có ích.
甩竿技术有待提高……	Kỹ thuật quăng cần còn phải luyện……
鱼呢？	Cá đâu?
也许该换个鱼多的地方钓。	Có lẽ nên đổi sang chỗ nhiều cá mà câu.
我还以为海里到处都是鱼呢！	Ta cứ tưởng dưới biển chỗ nào cũng có cá chứ!
我现在明明可以做更科学的事情……	Rõ ràng giờ ta có thể làm việc khoa học hơn……
重量：{weight}	Trọng lượng: {weight}
重量: {weight}\n我是重量级的钓手!	Trọng lượng: {weight}\nTa là tay câu hạng nặng!
好像没对准。	Hình như chưa nhắm trúng.
得！两手空空。	Thôi! Tay trắng.
这只胡萝卜鼠不在训练的状态。	Con chuột cà rốt này không ở trạng thái luyện tập.
实验——，比赛开始！	Thí nghiệm——, cuộc thi bắt đầu!
不，不！方向错了！	Không, không! Sai hướng rồi!
掉头，你什么眼神啊！	Quay đầu, mắt mũi ngươi để đâu vậy!
你敢给我睡！起来，我们要赢比赛！	Ngươi mà dám ngủ! Dậy, chúng ta phải thắng!
不要用走，跑！	Đừng đi bộ, chạy!
站起来！冲，冲！	Đứng lên! Xông, xông!
没有人告诉我时间旅行完后屁股会这么痛……	Chẳng ai bảo ta rằng du hành thời gian xong mông lại đau thế này……
来自远古的新知识拓宽了我的思维！	Tri thức mới từ thời viễn cổ mở rộng tư duy của ta!
我早就知道了。	Ta biết từ lâu rồi.
得给它供点能。	Phải cấp chút năng lượng cho nó.
我对这种植物的知识在增长！	Hiểu biết của ta về loài cây này đang tăng lên!
不知道会长成什么。	Không biết sẽ mọc thành cái gì.
我从未想过会把我的科学思想用在……这东西上。	Ta chưa từng nghĩ sẽ đem tư tưởng khoa học của mình dùng vào…… thứ này.
我的五脏六腑都在燃烧！	Ngũ tạng lục phủ của ta đang bốc cháy!
哎哟，太热了！	Ui da, nóng quá!
写给自己的笔记：不要再用火荨麻毒素进行试验。	Ghi chú cho bản thân: đừng thí nghiệm với độc tố tầm ma lửa nữa.
生长吧，植物，生长吧！	Mọc đi, cây ơi, mọc đi!
我一直想要一株像你这样的植物。	Ta vẫn luôn muốn có một cây như ngươi.
你好，植物，我来给你提供每日的社交剂量了！	Chào cây, ta đến cấp cho ngươi liều giao tiếp hằng ngày đây!
你真是一株好植物啊。	Ngươi đúng là một cây tốt.
植物，你真是一个好的聆听者。	Cây à, ngươi đúng là người biết lắng nghe.
3,2,1……不管你有没有藏好，我都要开始找！	3, 2, 1…… trốn kỹ hay chưa thì ta cũng bắt đầu tìm!
嗷，它们在玩捉迷藏呢。	Ồ, chúng đang chơi trốn tìm.
找到你了！	Tìm thấy ngươi rồi!
你在这。	Ngươi ở đây.
我就知道你会藏在那！	Ta biết ngay ngươi sẽ trốn ở đó!
能看见你！	Thấy ngươi rồi!
所以最后一个藏在哪里呢？	Vậy đứa cuối cùng trốn ở đâu?
我找到最后一个了！	Ta tìm được đứa cuối rồi!
{name}找到了最后一个！	{name} tìm được đứa cuối cùng!
那些小家伙们估计不耐烦了……	Mấy đứa nhỏ chắc sốt ruột rồi……
看来它们不想玩了……	Xem ra chúng không muốn chơi nữa……
它们大概率不会躲在这么远的地方，对吧？	Chắc chúng không trốn xa đến thế đâu nhỉ?
小浣猫们应该就在附近。	Mấy chú Kitcoon hẳn ở quanh đây.
我就说刚刚看到了那边有什么东西在藏着！	Ta đã bảo vừa nãy thấy có thứ gì trốn đằng kia mà!
他捕捉到了气味！	Nó bắt được mùi rồi!
看来他什么都没找到。	Xem ra nó chẳng tìm thấy gì.
我应该跟着他！	Ta nên đi theo nó!
他很想让我跟着。	Nó rất muốn ta đi theo.
他一定是发现了什么！	Nó nhất định đã phát hiện ra gì đó!
看来别人找到了他要找的东西。	Xem ra người khác đã tìm được thứ nó muốn tìm.
我会自己找到那些小家伙的。	Ta sẽ tự tìm mấy đứa nhỏ đó.
可怜的家伙……他原本想把我带到哪里呢？	Tội nghiệp…… nó vốn định dẫn ta đi đâu nhỉ?
你给我过来！	Lại đây cho ta!
放在这里裁判是看不到我的皮弗娄牛的。	Đặt ở đây thì trọng tài không thấy Beefalo của ta đâu.
我满满都是皮弗娄牛造型的灵感！	Ta tràn đầy cảm hứng tạo hình cho Beefalo!
那是什么——漂浮巨眼？！	Cái gì thế——mắt khổng lồ bay lơ lửng?!
终于好了！	Cuối cùng cũng xong!
回来，我跟你没完！	Quay lại, ta chưa xong với ngươi đâu!
当然不会那么轻松。	Đương nhiên không dễ thế.
开始有芜猴的感觉了……	Bắt đầu có cảm giác thành khỉ rồi……
呀！我的头发怎么了？！	Á! Tóc ta làm sao thế này?!
总算从猴身解脱了！	Rốt cuộc cũng thoát khỏi thân khỉ!
那个号子声只意味着一件事...	Tiếng hò đó chỉ có một nghĩa...
我感觉剧本里没写那句。	Ta thấy trong kịch bản không có câu đó.
我感觉神清气爽！	Ta thấy tinh thần sảng khoái!
我需要一把更结实的工具！	Ta cần một công cụ chắc chắn hơn!
那道闪光！那是月光吗？	Tia sáng đó! Là ánh trăng sao?
有些阴险的家伙即将到来。	Có kẻ nham hiểm sắp tới.
这些我都有了。	Mấy thứ này ta có cả rồi.
没事儿。	Không sao.
是时候再抹点驱酸剂了。	Đến lúc bôi thêm chút thuốc chống axit rồi.
我得把船移到离起点塔更近的地方。	Ta phải dời thuyền lại gần tháp xuất phát hơn.
我该先立几个检查点。	Ta nên dựng vài điểm kiểm tra trước.
不够空间容纳其余选手了。	Không đủ chỗ cho các đấu thủ còn lại.
我的心在下沉，当初应该待在浅水区的。	Lòng ta chùng xuống, lẽ ra nên ở lại vùng nước nông.
打掉那个窝点可能引发了连锁反应……	Phá tổ đó có lẽ đã gây phản ứng dây chuyền……
可能是鱼人的传统。	Có lẽ là truyền thống của người cá.
我被那些......东西淹没了！	Ta bị mấy...... thứ đó nhấn chìm rồi!
我被咬了！它去哪儿了？！	Ta bị cắn! Nó đi đâu rồi?!
有些东西正在慢慢掘出表面。	Có thứ gì đang từ từ trồi lên mặt đất.
有东西在地下轻轻地蠕动。	Có thứ gì khe khẽ ngọ nguậy dưới lòng đất.
这个兔子长得好奇怪！	Con thỏ này trông kỳ quái thật!
抓到你啦！	Bắt được ngươi rồi!
兔子们也许不喜欢这个地方。	Lũ thỏ có lẽ không thích chỗ này.
这南瓜都烤熟了。	Quả bí ngô này nướng chín rồi.
不会再大了。	Không lớn thêm nữa đâu.
地上的雪不够多。	Tuyết trên mặt đất không đủ nhiều.
呣。哪里出错了？	Hừm. Sai ở đâu nhỉ?
简直就是阴间版强心针。	Đúng là mũi trợ tim phiên bản âm ty.
我感觉一阵恐惧袭来。	Ta thấy một luồng sợ hãi ập tới.
我举着马跑都不会慢。	Ta vác cả con ngựa mà chạy cũng chẳng chậm.
它回来了！	Nó quay lại rồi!
本来我正忙着溺水呢，结果我脑海中就浮现……我就浮起来了！	Ta vốn đang bận chết đuối, thế rồi trong đầu hiện lên…… rồi ta nổi lên!
我讨厌被吊——	Ta ghét bị treo——
原来鸦群被杀死是这样的声音。	Thì ra đàn quạ bị giết thì kêu như thế.
像鸟一样掉了下来。	Rơi xuống như con chim.
我太累了。	Ta mệt quá.
有鸟!	Có chim!
给我个结实点的东西！	Cho ta thứ gì chắc chắn hơn!
是不是另一边出故障了？	Có phải đầu bên kia trục trặc không?
等一下，那东西在这下面做什么？	Khoan đã, thứ đó làm gì dưới này?
走开！我们还没死呢！等等，这些家伙发生了变异。	Tránh ra! Bọn ta chưa chết! Khoan, mấy gã này biến dị rồi.
我怎么还在这里？	Sao ta vẫn còn ở đây?
我有晕船的感觉！	Ta có cảm giác say sóng!
他们多半是在忙着瞎胡闹。	Bọn chúng phần nhiều đang bận nghịch bậy.
受死吧！	Chịu chết đi!
到这儿来，小猪！	Lại đây, heo con!
我要灭了你！	Ta phải diệt ngươi!
我要踩死你！	Ta giẫm chết ngươi!
你死好过我死！	Ngươi chết còn hơn ta chết!
去死吧，鹿！	Chết đi, hươu!
他肯定尝到我的厉害了！	Hắn hẳn đã nếm mùi lợi hại của ta!
这次姑且放过他。	Lần này tạm tha cho hắn.
他速度太快了！	Hắn nhanh quá!
不管怎么说，他真是太恶心了。	Dù sao đi nữa, hắn cũng thật đáng tởm.
嘘…你这个讨厌的家伙！	Suỵt… cái đồ đáng ghét nhà ngươi!
这在科学上说不通。	Chuyện này về mặt khoa học không thông.
我想这是有科学道理的。	Ta nghĩ chuyện này có lý về khoa học.
我只崇拜科学。	Ta chỉ sùng bái khoa học.
科学用品！	Đồ dùng khoa học!
我身上有它想要的东西。	Trên người ta có thứ nó muốn.
看起来跟我关系不错。	Xem chừng quan hệ với ta khá tốt.
看起来很生气。	Trông có vẻ rất giận.
有人可能对此感兴趣。	Có người có lẽ sẽ hứng thú với cái này.
我原本会被刺穿的！	Suýt nữa ta đã bị đâm xuyên!
真是坚持不懈！	Thật là kiên trì bền bỉ!
我还没有被刺穿时的记忆。	Ta chưa có ký ức lúc bị đâm xuyên.
这份科学送给你。	Phần khoa học này tặng ngươi.
太漂亮了，让人流连忘返。	Đẹp quá, khiến người ta lưu luyến chẳng nỡ rời.
你想一个人待着吗？	Ngươi muốn ở một mình sao?
她准备跟我们吐露心扉了。	Nàng ta chuẩn bị thổ lộ tâm can với bọn ta rồi.
精神头真足啊！	Tinh thần sung mãn thật!
